OFFICIAL_SYMBOL,IDENTIFIER_ID,Gene_Type
FHIT,2272,PROTEIN_CODING
HLA-DPB1,3115,PROTEIN_CODING
EPCAM,4072,PROTEIN_CODING
PGF,5228,PROTEIN_CODING
SHC1,6464,PROTEIN_CODING
SKP2,6502,PROTEIN_CODING
SPARC,6678,PROTEIN_CODING
UCP2,7351,PROTEIN_CODING
CA9,768,PROTEIN_CODING
PLA2G7,7941,PROTEIN_CODING
CALM1,801,PROTEIN_CODING
AURKB,9212,PROTEIN_CODING
CDX2,1045,PROTEIN_CODING
IL23R,149233,PROTEIN_CODING
ADRB1,153,PROTEIN_CODING
ADRB3,155,PROTEIN_CODING
CYP11B2,1585,PROTEIN_CODING
DRD3,1814,PROTEIN_CODING
AHSG,197,PROTEIN_CODING
EIF4E,1977,PROTEIN_CODING
F2RL1,2150,PROTEIN_CODING
FGA,2243,PROTEIN_CODING
FKBP5,2289,PROTEIN_CODING
KLRK1,22914,PROTEIN_CODING
FLNA,2316,PROTEIN_CODING
FSHR,2492,PROTEIN_CODING
GHR,2690,PROTEIN_CODING
GLI1,2735,PROTEIN_CODING
HSPA8,3312,PROTEIN_CODING
IFNB1,3456,PROTEIN_CODING
IKBKB,3551,PROTEIN_CODING
ITGA2B,3674,PROTEIN_CODING
IL22,50616,PROTEIN_CODING
POLG,5428,PROTEIN_CODING
FBXW7,55294,PROTEIN_CODING
SHBG,6462,PROTEIN_CODING
TPMT,7172,PROTEIN_CODING
CACNA1C,775,PROTEIN_CODING
CAT,847,PROTEIN_CODING
SOCS1,8651,PROTEIN_CODING
CBS,875,PROTEIN_CODING
MUC16,94025,PROTEIN_CODING
F2R,2149,PROTEIN_CODING
IL4R,3566,PROTEIN_CODING
MME,4311,PROTEIN_CODING
OLR1,4973,PROTEIN_CODING
SLC26A4,5172,PROTEIN_CODING
SERPINF1,5176,PROTEIN_CODING
AVP,551,PROTEIN_CODING
PTH,5741,PROTEIN_CODING
BCL6,604,PROTEIN_CODING
BCR,613,PROTEIN_CODING
S100A4,6275,PROTEIN_CODING
SLC4A1,6521,PROTEIN_CODING
TF,7018,PROTEIN_CODING
TFRC,7037,PROTEIN_CODING
TXN,7295,PROTEIN_CODING
XPC,7508,PROTEIN_CODING
XPO1,7514,PROTEIN_CODING
CCNE1,898,PROTEIN_CODING
CD34,947,PROTEIN_CODING
ADH1B,125,PROTEIN_CODING
CYP2B6,1555,PROTEIN_CODING
ETS1,2113,PROTEIN_CODING
F13A1,2162,PROTEIN_CODING
FOS,2353,PROTEIN_CODING
ABCA4,24,PROTEIN_CODING
FNDC5,252995,PROTEIN_CODING
GCK,2645,PROTEIN_CODING
HSF1,3297,PROTEIN_CODING
AQP4,361,PROTEIN_CODING
ITGA2,3673,PROTEIN_CODING
NGF,4803,PROTEIN_CODING
NOS1,4842,PROTEIN_CODING
NTRK1,4914,PROTEIN_CODING
SOST,50964,PROTEIN_CODING
PLAT,5327,PROTEIN_CODING
EIF2AK2,5610,PROTEIN_CODING
RXRA,6256,PROTEIN_CODING
RYR1,6261,PROTEIN_CODING
SREBF1,6720,PROTEIN_CODING
TTN,7273,PROTEIN_CODING
YY1,7528,PROTEIN_CODING
YWHAZ,7534,PROTEIN_CODING
NR1I2,8856,PROTEIN_CODING
ADAR,103,PROTEIN_CODING
CHRNA7,1139,PROTEIN_CODING
CYBB,1536,PROTEIN_CODING
CYP2A6,1548,PROTEIN_CODING
EPHA2,1969,PROTEIN_CODING
GCG,2641,PROTEIN_CODING
GPX1,2876,PROTEIN_CODING
ANXA1,301,PROTEIN_CODING
IDH2,3418,PROTEIN_CODING
IL12A,3592,PROTEIN_CODING
IRF3,3661,PROTEIN_CODING
ITGA5,3678,PROTEIN_CODING
MEN1,4221,PROTEIN_CODING
NME1,4830,PROTEIN_CODING
NPY,4852,PROTEIN_CODING
TET2,54790,PROTEIN_CODING
AXL,558,PROTEIN_CODING
PTPN1,5770,PROTEIN_CODING
PTPN6,5777,PROTEIN_CODING
ACTB,60,PROTEIN_CODING
SMN1,6606,PROTEIN_CODING
TGFBI,7045,PROTEIN_CODING
NRP1,8829,PROTEIN_CODING
CFLAR,8837,PROTEIN_CODING
CD28,940,PROTEIN_CODING
SCARB1,949,PROTEIN_CODING
CDKN2B,1030,PROTEIN_CODING
CTCF,10664,PROTEIN_CODING
COL1A2,1278,PROTEIN_CODING
CRYAB,1410,PROTEIN_CODING
CYBA,1535,PROTEIN_CODING
EPHX1,2052,PROTEIN_CODING
F9,2158,PROTEIN_CODING
FASN,2194,PROTEIN_CODING
KDM1A,23028,PROTEIN_CODING
XRCC6,2547,PROTEIN_CODING
ABO,28,PROTEIN_CODING
HBA2,3040,PROTEIN_CODING
AQP1,358,PROTEIN_CODING
L1CAM,3897,PROTEIN_CODING
MUTYH,4595,PROTEIN_CODING
NF2,4771,PROTEIN_CODING
NGFR,4804,PROTEIN_CODING
NOX4,50507,PROTEIN_CODING
TLR7,51284,PROTEIN_CODING
PIK3CG,5294,PROTEIN_CODING
MAP2K1,5604,PROTEIN_CODING
PRL,5617,PROTEIN_CODING
THBD,7056,PROTEIN_CODING
NKX2-1,7080,PROTEIN_CODING
TOP1,7150,PROTEIN_CODING
UBE2I,7329,PROTEIN_CODING
WRN,7486,PROTEIN_CODING
CASP9,842,PROTEIN_CODING
ORAI1,84876,PROTEIN_CODING
IKBKG,8517,PROTEIN_CODING
CCNB1,891,PROTEIN_CODING
MTDH,92140,PROTEIN_CODING
KEAP1,9817,PROTEIN_CODING
HDAC6,10013,PROTEIN_CODING
CD24,100133941,PROTEIN_CODING
IKZF1,10320,PROTEIN_CODING
ERBB4,2066,PROTEIN_CODING
FABP4,2167,PROTEIN_CODING
BRD4,23476,PROTEIN_CODING
GAPDH,2597,PROTEIN_CODING
GPER1,2852,PROTEIN_CODING
MSH6,2956,PROTEIN_CODING
CXCR2,3579,PROTEIN_CODING
MITF,4286,PROTEIN_CODING
MTR,4548,PROTEIN_CODING
MUC5AC,4586,PROTEIN_CODING
SERPINC1,462,PROTEIN_CODING
NCL,4691,PROTEIN_CODING
NTRK2,4915,PROTEIN_CODING
PKD1,5310,PROTEIN_CODING
PPARD,5467,PROTEIN_CODING
PRKCB,5579,PROTEIN_CODING
PTPRC,5788,PROTEIN_CODING
RARA,5914,PROTEIN_CODING
S100A8,6279,PROTEIN_CODING
BST2,684,PROTEIN_CODING
BTK,695,PROTEIN_CODING
UCHL1,7345,PROTEIN_CODING
ZAP70,7535,PROTEIN_CODING
BAP1,8314,PROTEIN_CODING
TSLP,85480,PROTEIN_CODING
TNFRSF10B,8795,PROTEIN_CODING
CDH2,1000,PROTEIN_CODING
ADAM10,102,PROTEIN_CODING
STUB1,10273,PROTEIN_CODING
CHGA,1113,PROTEIN_CODING
CHUK,1147,PROTEIN_CODING
TPH2,121278,PROTEIN_CODING
ABCC2,1244,PROTEIN_CODING
CTSB,1508,PROTEIN_CODING
CX3CR1,1524,PROTEIN_CODING
ELANE,1991,PROTEIN_CODING
ELN,2006,PROTEIN_CODING
F10,2159,PROTEIN_CODING
FGG,2266,PROTEIN_CODING
ALOX5,240,PROTEIN_CODING
IL27,246778,PROTEIN_CODING
AGO2,27161,PROTEIN_CODING
GLA,2717,PROTEIN_CODING
GP1BA,2811,PROTEIN_CODING
GZMB,3002,PROTEIN_CODING
IL7R,3575,PROTEIN_CODING
KISS1,3814,PROTEIN_CODING
MMP13,4322,PROTEIN_CODING
MYH7,4625,PROTEIN_CODING
PDGFB,5155,PROTEIN_CODING
PECAM1,5175,PROTEIN_CODING
RPS6KB1,6198,PROTEIN_CODING
SAA1,6288,PROTEIN_CODING
BGLAP,632,PROTEIN_CODING
CX3CL1,6376,PROTEIN_CODING
SNAI2,6591,PROTEIN_CODING
STAT6,6778,PROTEIN_CODING
TIMP3,7078,PROTEIN_CODING
XRCC5,7520,PROTEIN_CODING
CD163,9332,PROTEIN_CODING
CD38,952,PROTEIN_CODING
DNM1L,10059,PROTEIN_CODING
NES,10763,PROTEIN_CODING
CTSD,1509,PROTEIN_CODING
ALPL,249,PROTEIN_CODING
GFAP,2670,PROTEIN_CODING
GLP1R,2740,PROTEIN_CODING
TNC,3371,PROTEIN_CODING
IRF1,3659,PROTEIN_CODING
MYB,4602,PROTEIN_CODING
MYOC,4653,PROTEIN_CODING
OPA1,4976,PROTEIN_CODING
POLR2A,5430,PROTEIN_CODING
POMC,5443,PROTEIN_CODING
PTCH1,5727,PROTEIN_CODING
